Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / International,Price / International,Compare At Price / International,Status
bed-bundle,Bed Bundle,"<div class=""row"">
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0553/2178/8461/files/ba1.jpg?v=1636707850"" class=""img-ultra"" alt=""""></div>
</div>
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">Just a few minutes playing with the dog, cat or watching the fish swim around will help you relieve stress and relax a lot. According to scientific explanation, when you are with a pet, your body undergoes a physiological transformation and directly affects your emotions. Levels of cortisol – a stress-related hormone – drop dramatically. Meanwhile, the hormone serotonin to improve health increased.</p>
</div>
</div>
</div>
<div class=""row"">
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">Just a few minutes playing with the dog, cat or watching the fish swim around will help you relieve stress and relax a lot. According to scientific explanation, when you are with a pet, your body undergoes a physiological transformation and directly affects your emotions. Levels of cortisol – a stress-related hormone – drop dramatically. Meanwhile, the hormone serotonin to improve health increased.</p>
</div>
</div>
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0553/2178/8461/files/ba1.jpg?v=1636707850"" class=""img-ultra"" alt=""""></div>
</div>
</div>",Petaio - Pet Shop & Pet Accessories Responsive Shopify Theme,,"","$20-$30, Gray, Pink",true,Color,Pink,,,,,"",0.0,,0,deny,manual,25.00,,true,true,"",https://cdn.shopify.com/s/files/1/0786/5139/2280/products/1_21010814-8827-4a15-8c73-fa95542cfc4e.jpg?v=1688705354,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0786/5139/2280/products/1_21010814-8827-4a15-8c73-fa95542cfc4e.jpg?v=1688705354,kg,,,true,true,,,active
bed-bundle,,,,,,,,,Gray,,,,,"",0.0,,0,deny,manual,25.00,,true,true,"",https://cdn.shopify.com/s/files/1/0786/5139/2280/products/2_1d4aa8cf-9bee-4ab3-901e-ab482d5f52c6.jpg?v=1688705354,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0786/5139/2280/products/2_1d4aa8cf-9bee-4ab3-901e-ab482d5f52c6.jpg?v=1688705354,kg,,,,,,,
bed-bundle,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0786/5139/2280/products/3_3916694e-2e58-46ec-9c39-bb3b71a94578.jpg?v=1688705354,3,,,,,,,,,,,,,,,,,,,,,,,,
bed-bundle,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0786/5139/2280/products/4_f30a86de-ad38-4e03-bfab-4f803d9bc10a.jpg?v=1688705354,4,,,,,,,,,,,,,,,,,,,,,,,,
bootique-kitty,Bootique Kitty,"<div class=""row"">
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0553/2178/8461/files/ba1.jpg?v=1636707850"" class=""img-ultra"" alt=""""></div>
</div>
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">Just a few minutes playing with the dog, cat or watching the fish swim around will help you relieve stress and relax a lot. According to scientific explanation, when you are with a pet, your body undergoes a physiological transformation and directly affects your emotions. Levels of cortisol – a stress-related hormone – drop dramatically. Meanwhile, the hormone serotonin to improve health increased.</p>
</div>
</div>
</div>
<div class=""row"">
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">Just a few minutes playing with the dog, cat or watching the fish swim around will help you relieve stress and relax a lot. According to scientific explanation, when you are with a pet, your body undergoes a physiological transformation and directly affects your emotions. Levels of cortisol – a stress-related hormone – drop dramatically. Meanwhile, the hormone serotonin to improve health increased.</p>
</div>
</div>
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0553/2178/8461/files/ba1.jpg?v=1636707850"" class=""img-ultra"" alt=""""></div>
</div>
</div>",Petaio - Pet Shop & Pet Accessories Responsive Shopify Theme,,"",$10-$20,true,Title,Default Title,,,,,"",0.0,,0,deny,manual,15.00,18.00,true,true,"",https://cdn.shopify.com/s/files/1/0786/5139/2280/products/1_89d84621-c2e7-419f-98e6-186e787bb4d0.jpg?v=1688705348,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
bootique-kitty,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0786/5139/2280/products/2_a1ffcef6-3198-440d-80ee-bc8cd97cdfd6.jpg?v=1688705348,2,,,,,,,,,,,,,,,,,,,,,,,,
bootique-kitty,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0786/5139/2280/products/3_8fbe7fc9-8cac-4224-b3ce-d63c4e1dd352.jpg?v=1688705348,3,,,,,,,,,,,,,,,,,,,,,,,,
cat-collar,Cat Collar,"<div class=""row"">
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0553/2178/8461/files/ba1.jpg?v=1636707850"" class=""img-ultra"" alt=""""></div>
</div>
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">Just a few minutes playing with the dog, cat or watching the fish swim around will help you relieve stress and relax a lot. According to scientific explanation, when you are with a pet, your body undergoes a physiological transformation and directly affects your emotions. Levels of cortisol – a stress-related hormone – drop dramatically. Meanwhile, the hormone serotonin to improve health increased.</p>
</div>
</div>
</div>
<div class=""row"">
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">Just a few minutes playing with the dog, cat or watching the fish swim around will help you relieve stress and relax a lot. According to scientific explanation, when you are with a pet, your body undergoes a physiological transformation and directly affects your emotions. Levels of cortisol – a stress-related hormone – drop dramatically. Meanwhile, the hormone serotonin to improve health increased.</p>
</div>
</div>
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0553/2178/8461/files/ba1.jpg?v=1636707850"" class=""img-ultra"" alt=""""></div>
</div>
</div>",Petaio - Pet Shop & Pet Accessories Responsive Shopify Theme,,"","$10-$20, Pink, Red, Violet",true,Color,Red,,,,,"",0.0,,0,deny,manual,12.00,,true,true,"",https://cdn.shopify.com/s/files/1/0786/5139/2280/products/3_69e376b1-8e7f-410b-9593-9165e7d02200.jpg?v=1688705344,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0786/5139/2280/products/3_69e376b1-8e7f-410b-9593-9165e7d02200.jpg?v=1688705344,kg,,,true,true,,,active
cat-collar,,,,,,,,,Pink,,,,,"",0.0,,0,deny,manual,12.00,,true,true,"",https://cdn.shopify.com/s/files/1/0786/5139/2280/products/1_c1dc365f-7bc9-41b1-b610-b8fe62170a22.jpg?v=1688705344,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0786/5139/2280/products/1_c1dc365f-7bc9-41b1-b610-b8fe62170a22.jpg?v=1688705344,kg,,,,,,,
cat-collar,,,,,,,,,Violet,,,,,"",0.0,,0,deny,manual,12.00,,true,true,"",https://cdn.shopify.com/s/files/1/0786/5139/2280/products/4_e5586627-a916-459c-89e1-539acfb8da8e.jpg?v=1688705344,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0786/5139/2280/products/4_e5586627-a916-459c-89e1-539acfb8da8e.jpg?v=1688705344,kg,,,,,,,
